FILIAL,PROCESSO,PARTIDA,ARTIGO,COR,DESC_NM_MERC,MT_DISPONIV,DT_PROD,NUM_FIOS,FLANGE,LADO,MAQUINA,STATUS,URDUME,MT_PREVISTA,MT_A_BATER,MT_PROX24H,BATIDAS,RPM,EFIC_TA,EFIC_TB,EFIC_TC,EFIC_DIA,ART_PROGR,NM_MERC_PROG,COR_PG,URDUME_PRO,GRUPO_TEAR,REPROCESSO,LARGURA,TRAMA_REDUZIDA_1,TRAMA_REDUZIDA_2,DATA FINAL TECEL,HORA_FINAL_TECEL,TURNO_FINAL_TECE,HORA_FINAL_TECEL_V2,OBS ACABAMENTO,COD MOT REP,MOTIVO REPROCESSO,OBS REPROCESSO
5,INDIGO,1544426,U12.5-5696560,560,URDUME,"900,00",02/02/2026,5696,55115,D,25001,P,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,INDIGO,0544503,10+10F4760561,561,URDUME,"818,00",02/02/2026,4760,55069,D,25001,P,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,INDIGO,0544521,10+10F4760561,561,URDUME,"1.700,00",03/02/2026,4760,55018,D,25001,P,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,INDIGO,1544504,10+10F4760561,561,URDUME,"840,32",02/02/2026,4760,55001,D,25001,P,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,INDIGO,1544507,10+10F4760561,561,URDUME,"802,16",02/02/2026,4760,55025,D,25001,N,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,INDIGO,1544515,10+10F4760561,561,URDUME,"669,23",03/02/2026,4760,55061,D,25001,P,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
FILIAL,PROCESSO,PARTIDA,ARTIGO,COR,DESC_NM_MERC,MT_DISPONIV,DT_PROD,NUM_FIOS,FLANGE,LADO,MAQUINA,STATUS,URDUME,MT_PREVISTA,MT_A_BATER,MT_PROX24H,BATIDAS,RPM,EFIC_TA,EFIC_TB,EFIC_TC,EFIC_DIA,ART_PROGR,NM_MERC_PROG,COR_PG,URDUME_PRO,GRUPO_TEAR,REPROCESSO,LARGURA,TRAMA_REDUZIDA_1,TRAMA_REDUZIDA_2,DATA FINAL TECEL,HORA_FINAL_TECEL,TURNO_FINAL_TECE,HORA_FINAL_TECEL_V2,OBS ACABAMENTO,COD MOT REP,MOTIVO REPROCESSO,OBS REPROCESSO
5,INDIGO,2544513,10+10F4760561,561,URDUME,"1.210,70",03/02/2026,4760,55054,D,25001,N,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,TECELAGEM,0544718,AI310906V5560,560,CAPRI,"301,25",,4760,55187, ,35001,N,U12.5-4760560,"2.300,00","1.998,75","510,30",16,750,"58,06","60,00","80,00","65,96",,,,,5, ,165,9/1 OE,,10/02/2026,1257,A,12:57,, , , 
5,TECELAGEM,0544705,AI310906V5560,560,CAPRI,"888,13",,4760,55091, ,35002,N,U12.5-4760560,"2.300,00","1.411,87","510,30",16,750,"70,56","81,11","19,44","56,98",AF311006E5561,ICON IV,561,10+10F4760561,5, ,165,9/1 OE,,09/02/2026,1346,A,13:46,, , , 
