FILIAL,LOC. FISICO,MAQUINA,NOME_MAQUINA,DATA_PRODUCAO,TURNO,LADO,ITEM,DESC ITEM,HORA INICIAL,HORA FINAL,RPM,NUM FUSOS,ALFA,LOTE PRODUC,TÍTULO,TEMPO,TORCAO P POLEG,TORCAO P METRO,PROD MT/MIN,PROD KG/HR,PROD CALCULADA,PROD INFORMADA,EFIC CALCULADA,EFIC INFORMADA,OPERADOR,T.BOB.,RPM CARD,N,S,L,T,MO,CP V+ SL+,CM V- SL-,CCp C+,CCm C-,JP (P+),JM (P-),CVP,CVM,CORT NAT,% ROB 01,% ROB 02,% ROB 03
05,003,050403,OPEN END III                  ,15/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","791,80","95,4","95,6",00096,"1,006",9500,0,52,17,49,26,18,23,17,3,2,0,0,0,137,0,0,0
05,003,050403,OPEN END III                  ,15/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,15/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,15/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","746,50","90,0","89,7",00096,"1,006",9500,0,33,6,42,13,16,27,7,5,35,0,0,0,97,0,0,0
05,003,050403,OPEN END III                  ,15/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","689,70","83,1","83,5",00096,"1,006",9500,0,29,15,42,18,9,18,6,2,46,2,0,0,121,0,0,0
05,003,050403,OPEN END III                  ,16/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","802,70","96,7","96,6",00096,"1,006",9500,0,39,12,45,21,20,33,16,2,5,0,0,0,141,0,0,0
05,003,050403,OPEN END III                  ,16/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","787,50","94,9","95,2",00096,"1,006",9500,4,49,18,40,28,12,27,12,3,6,0,0,0,163,0,0,0
05,003,050403,OPEN END III                  ,16/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,16/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","738,10","88,9","88,7",00096,"1,006",9500,1,37,12,37,23,19,14,16,2,0,14,0,0,134,0,0,0
05,003,050403,OPEN END III                  ,16/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
