MAQUINA,ARTIGO,NM_MERC,PARTIDA,METRAGEM,DT_PROD,HORA_PROD,TURNO,LARG_AL,GRAMAT,POTEN,%_ENC_URD,%_ENC_TRAMA,%_SK1,%_SK2,%_SK3,%_SK4,%_SKE,%_STT,%_SKM,APROV,COD_ART,COR_ART,OBS,REPROCESSO,SEQ TESTE
165001,AI311102G5561,WARDEN II,1544116,"1.024,00",02/02/2026,01:58,C,"169,00","372,00","16,50","-1,60","-0,89","7,75","9,00","8,25","6,33","7,75",,"16,40",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,1544109,"814,00",02/02/2026,01:22,C,"168,00","366,00","16,50","-1,60","-0,60","4,25","8,25","9,75","6,46","7,14",,"16,40",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544208,"908,00",02/02/2026,00:56,C,"168,50","371,00","16,50","-1,40","-0,89","5,50","7,25","9,00","5,57","6,77",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544219,"426,00",02/02/2026,00:27,C,"168,00","372,00","16,50","-1,00","-0,60","7,50","7,25","10,25","6,25","7,74",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544220,"1.973,00",03/02/2026,04:39,C,"169,50","370,00","16,50","-0,40","-0,88","7,50","7,75","8,50","5,05","7,08",,"16,60",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544123,"1.960,00",03/02/2026,03:38,C,"169,00","371,00","16,50","-1,20","-0,59","6,75","8,25","10,25","5,51","7,57",,"16,60",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544206,"1.972,00",03/02/2026,02:37,C,"169,00","371,00","16,50","-1,20","-0,59","5,50","7,00","10,00","5,10","6,80",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544204,"1.967,00",03/02/2026,01:35,C,"169,00","371,00","16,50","-0,40","-0,59","6,00","9,00","8,75","4,69","6,98",,"16,60",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544210,"1.844,00",03/02/2026,00:33,C,"170,00","370,00","16,50","-1,20","-1,18","6,25","9,00","7,25","6,40","7,18",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544304,"1.915,00",03/02/2026,20:22,B,"168,00","370,00","16,50","-1,40","-0,30","6,00","8,00","8,50","6,88","7,32",,"16,80",A,AI311102G5,561,, ,01
MAQUINA,ARTIGO,NM_MERC,PARTIDA,METRAGEM,DT_PROD,HORA_PROD,TURNO,LARG_AL,GRAMAT,POTEN,%_ENC_URD,%_ENC_TRAMA,%_SK1,%_SK2,%_SK3,%_SK4,%_SKE,%_STT,%_SKM,APROV,COD_ART,COR_ART,OBS,REPROCESSO,SEQ TESTE
165001,AI311102G5561,WARDEN II,0544212,"1.976,00",03/02/2026,21:28,B,"168,50","368,00","16,50","-1,20","-0,30","5,50","8,25","8,75","5,77","7,00",,"16,80",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544305,"1.950,00",03/02/2026,19:18,B,"167,50","371,00","16,50","-1,60","-0,30","5,00","8,75","8,25","6,53","7,10",,"17,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544214,"1.960,00",03/02/2026,07:45,A,"168,50","370,00","16,50","-1,40","-0,30","4,00","7,00","6,00","4,33","5,28",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544205,"1.980,00",03/02/2026,06:42,C,"169,00","371,00","16,50","-1,60","-0,59","6,75","5,75","10,25","5,92","7,10",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544202,"1.958,00",03/02/2026,05:40,C,"170,00","368,00","16,50","-0,40","-0,88","6,00","8,50","8,25","7,00","7,41",,"16,60",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544315,"2.054,00",04/02/2026,04:01,C,"168,00","365,00","16,00","-1,20","-0,60","4,50","6,25","9,00","5,21","6,19",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544324,"538,00",04/02/2026,10:49,A,"168,00","365,00","16,50","-1,40","0,00","4,00","9,75","8,50","6,88","7,26",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544312,"695,00",04/02/2026,10:30,A,"168,00","362,33","16,50","-1,20","0,00","4,00","7,25","7,00","6,04","6,07",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544314,"1.947,00",04/02/2026,10:07,A,"168,00","369,00","16,50","-1,00","0,00","5,00","9,25","8,50","6,04","7,14",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,1544208,"590,00",04/02/2026,09:02,A,"167,50","366,00","16,50","-1,00","0,30","4,50","9,25","8,50","5,89","6,99",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544323,"1.990,00",05/02/2026,19:35,B,"170,00","368,00","16,50","-1,60","-1,18","5,00","7,50","7,50","6,00","6,47",,"17,10",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544308,"251,00",06/02/2026,04:17,C,"168,50","370,00","16,50","-1,20","-0,89","4,75","7,75","9,75","6,39","7,12",,"16,50",A,AI311102G5,561,, ,01
165001,AI311102G5561,WARDEN II,0544605,"824,00",06/02/2026,04:09,C,"169,00","371,00","16,50","-0,80","-0,89","6,75","5,75","8,50","5,31","6,51",,"16,60",A,AI311102G5,561,, ,01
165001,AI311103G5920,DOHA,0537823,"209,00",02/02/2026,04:44,C,"160,00","373,00","15,00","-1,60","2,81","13,75","20,00","11,25","0,75","11,44",,"16,00",R,AI311103G5,920,SKEW,R,01
165001,AI311103G5920,DOHA,1537823,"211,00",05/02/2026,23:24,C,"161,50","379,00","16,00","-1,20","2,17","10,00","17,50","13,75","2,41","10,84",,"16,00",R,AI311103G5,920,,R,01
165001,AI311201G5561,MONTE CARLO,4543109,"92,00",02/02/2026,04:49,C,"162,00","396,00","15,00","-1,20","1,23","5,00","10,00","10,75","5,24","7,72",,"19,20",A,AI311201G5,561,,R,01
165001,AI311201G5561,MONTE CARLO,0544303,"1.945,00",03/02/2026,23:25,C,"167,00","390,00","16,00","-1,20","-0,30","4,00","9,25","9,25","6,60","7,25",,"19,00",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544224,"1.522,00",03/02/2026,22:18,B,"168,50","395,00","16,00","-1,20","-0,30","5,50","8,75","8,25","6,19","7,12",,"19,30",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544223,"1.998,00",04/02/2026,05:11,C,"168,00","390,00","16,00","-1,00","-0,30","6,25","10,50","7,00","4,17","6,85",,"18,90",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544307,"1.968,00",04/02/2026,02:50,C,"167,00","391,00","16,00","-1,40","-0,30","4,25","9,50","7,50","7,45","7,19",,"18,80",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544311,"1.924,00",04/02/2026,08:29,A,"168,00","395,00","16,00","-1,20","-0,30","4,75","8,75","7,25","4,58","6,25",,"19,20",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544221,"2.028,00",04/02/2026,07:25,A,"167,50","391,33","16,00","-2,00","-0,30","5,75","10,25","7,75","4,63","6,99",,"19,00",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544302,"1.966,00",04/02/2026,00:34,C,"167,00","393,00","16,00","-1,20","0,00","5,00","8,00","4,50","7,45","6,29",,"19,00",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,1543717,"410,00",04/02/2026,08:43,A,"167,00","393,00","16,00","-1,40","0,00","5,00","8,75","4,50","7,45","6,47",,"19,00",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544217,"1.911,00",04/02/2026,06:18,C,"167,00","390,00","16,00","-1,40","0,00","4,75","6,50","7,00","6,17","6,11",,"19,00",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544301,"1.951,00",04/02/2026,01:44,C,"166,50","391,00","16,00","-1,40","-0,30","5,25","8,00","5,00","4,73","5,71",,"19,00",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544322,"2.025,00",05/02/2026,23:12,B,"169,00","394,00","16,00","-1,00","-0,59","6,00","9,00","9,75","6,33","7,69",,"19,20",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544318,"1.947,00",05/02/2026,09:31,A,"169,00","395,00","16,00","-1,40","-0,59","5,50","10,50","7,50","4,08","6,75",,"19,20",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544317,"1.980,00",05/02/2026,08:14,A,"168,50","392,66","16,00","-1,80","-0,59","5,75","10,00","8,25","5,98","7,42",,"19,00",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544316,"1.887,00",05/02/2026,21:50,B,"168,00","378,00","16,00","-0,80","-0,60","6,25","8,75","8,50","5,83","7,26",,"19,30",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544309,"1.869,00",05/02/2026,06:56,C,"168,00","390,00","16,00","-2,00","-0,60","6,25","11,00","7,75","4,17","7,14",,"19,00",A,AI311201G5,561,, ,01
165001,AI311201G5561,MONTE CARLO,0544319,"2.035,00",06/02/2026,00:34,C,"169,00","390,00","16,00","-0,80","-0,59","5,50","7,25","9,50","4,29","6,51",,"19,10",A,AI311201G5,561,, ,01
